2025-03-25 12:12:37,207 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-03-25 12:12:37,224 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-03-25 12:12:37,225 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2025-03-25 12:12:37,225 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2025-03-25 12:12:37,239 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2025-03-25 12:12:37,240 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2025-03-25 12:12:37,246 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2025-03-25 12:14:17,438 INFO  SwAddin.cs: 271 - Assembly export called for file CW2_Robot_Assy_2025_Blank.SLDASM
2025-03-25 12:14:19,875 INFO  SwAddin.cs: 290 - Saving assembly
2025-03-25 12:14:19,979 INFO  SwAddin.cs: 293 - Opening property manager
2025-03-25 12:14:20,023 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from CW2_Robot_Assy_2025_Blank.SLDASM
2025-03-25 12:14:20,028 INFO  ExportHelperExtension.cs: 1142 - Found 29 in CW2_Robot_Assy_2025_Blank.SLDASM
2025-03-25 12:14:20,029 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in CW2_Robot_Assy_2025_Blank.SLDASM
2025-03-25 12:14:20,029 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2025-03-25 12:14:20,031 INFO  ExportHelperExtension.cs: 1167 - 2 components to check
2025-03-25 12:14:20,032 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from CW2_Robot_Base_90mm-1
2025-03-25 12:14:20,032 INFO  ExportHelperExtension.cs: 1142 - Found 35 in CW2_Robot_Base_90mm-1
2025-03-25 12:14:20,033 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in CW2_Robot_Base_90mm-1
2025-03-25 12:14:20,033 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from CW2_Robot_Base_Library-1
2025-03-25 12:14:20,034 INFO  ExportHelperExtension.cs: 1142 - Found 64 in CW2_Robot_Base_Library-1
2025-03-25 12:14:20,035 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in CW2_Robot_Base_Library-1
2025-03-25 12:14:20,035 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from CW2_Robot_Assy_2025_Blank.SLDASM
2025-03-25 12:14:20,035 INFO  ExportHelperExtension.cs: 1142 - Found 29 in CW2_Robot_Assy_2025_Blank.SLDASM
2025-03-25 12:14:20,036 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [RefAxis] in CW2_Robot_Assy_2025_Blank.SLDASM
2025-03-25 12:14:20,036 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2025-03-25 12:14:20,036 INFO  ExportHelperExtension.cs: 1167 - 2 components to check
2025-03-25 12:14:20,037 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from CW2_Robot_Base_90mm-1
2025-03-25 12:14:20,037 INFO  ExportHelperExtension.cs: 1142 - Found 35 in CW2_Robot_Base_90mm-1
2025-03-25 12:14:20,038 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in CW2_Robot_Base_90mm-1
2025-03-25 12:14:20,039 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from CW2_Robot_Base_Library-1
2025-03-25 12:14:20,039 INFO  ExportHelperExtension.cs: 1142 - Found 64 in CW2_Robot_Base_Library-1
2025-03-25 12:14:20,040 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in CW2_Robot_Base_Library-1
2025-03-25 12:14:20,205 INFO  SwAddin.cs: 316 - Loading config tree
2025-03-25 12:14:20,209 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2025-03-25 12:14:20,214 INFO  SwAddin.cs: 321 - Showing property manager
2025-03-25 12:14:33,333 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-03-25 12:14:50,815 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-03-25 12:14:51,380 INFO  ExportPropertyManager.cs: 1078 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-03-25 12:14:54,946 INFO  ExportPropertyManager.cs: 456 - Configuration saved
2025-03-25 12:14:56,132 INFO  ExportHelperExtension.cs: 338 - Creating joint Library
